,trends__gt_higgsfield_raw,trends__gt_higgsfield_7d_ma,trends__gt_higgsfield_trend,trends__gt_ratio_runway,trends__gt_ratio_runway_7d_ma,trends__gt_ratio_runway_trend,trends__gt_ratio_kling,trends__gt_ratio_kling_7d_ma,trends__gt_ratio_kling_trend,trends__gt_ratio_ltx_studio,trends__gt_ratio_ltx_studio_7d_ma,trends__gt_ratio_ltx_studio_trend,trends__gt_ratio_pika,trends__gt_ratio_pika_7d_ma,trends__gt_ratio_pika_trend,trends__gt_ratio_magichour,trends__gt_ratio_magichour_7d_ma,trends__gt_ratio_magichour_trend,trends__gt_ratio_remaker,trends__gt_ratio_remaker_7d_ma,trends__gt_ratio_remaker_trend,trends__gt_ratio_invideo,trends__gt_ratio_invideo_7d_ma,trends__gt_ratio_invideo_trend,trends__gt_competitor_avg,trends__gt_competitor_max,trends__gt_hf_vs_comp_avg_ratio,trends__gt_hf_share_of_voice,launches__n_competitor_events_7d,launches__max_event_severity_7d,launches__cumulative_threat_score,launches__days_since_last_competitor_launch,launches__competitor_launch_decay,launches__event_model_release_7d,launches__event_pricing_change_7d,launches__event_funding_7d,launches__event_feature_release_7d,migration__social_youtube_mentions,migration__social_youtube_sentiment,migration__social_youtube_engagement,migration__social_youtube_migration_signals,migration__total_migration_signals_daily,migration__total_migration_signals_7d,migration__total_migration_signals_30d,benchmarks__benchmark_search_hits_daily,benchmarks__benchmark_title_len_mean_daily,benchmarks__benchmark_vs_in_title_share_daily,benchmarks__benchmark_search_hits_7d,oss__oss_video_github_stars_daily,oss__oss_video_github_stars_7d,oss__oss_video_hf_downloads_daily,oss__oss_video_hf_downloads_7d,oss__oss_video_hf_downloads_trend,oss__oss_threat_composite,interaction__ix_comp_hype_x_migration_7d,interaction__ix_share_of_voice_gap_x_migration,interaction__ix_comp_launch_x_oss_threat,interaction__ix_launch_severity_x_benchmark_hits_7d,interaction__ix_hf_vs_comp_ratio_x_oss,interaction__compound_threat_score,interaction__compound_threat_7d_ma,interaction__compound_threat_trend
2025-12-30,56,0.0,0.0,2.074074074074074,0.0,0.0,0.6511627906976745,0.0,0.0,7.0,0.0,0.0,1.6,0.0,0.0,56.0,0.0,0.0,1.1914893617021276,0.0,0.0,1.302325581395349,0.0,0.0,34.285714285714285,85,1.5870445344129556,0.1885521885521885,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,323.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,62,0.0,0.0,2.1379310344827585,0.0,0.0,0.7126436781609196,0.0,0.0,6.2,0.0,0.0,1.878787878787879,0.0,0.0,62.0,0.0,0.0,1.148148148148148,0.0,0.0,1.5897435897435896,0.0,0.0,35.142857142857146,86,1.7154150197628455,0.2006472491909385,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,57,0.0,0.0,2.111111111111111,0.0,0.0,0.6404494382022472,0.0,0.0,5.181818181818182,0.0,0.0,1.6285714285714286,0.0,0.0,57.0,0.0,0.0,1.0754716981132075,0.0,0.0,1.3571428571428572,0.0,0.0,35.857142857142854,88,1.5465116279069768,0.1844660194174757,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,60,0.0,0.0,2.142857142857143,0.0,0.0,0.6593406593406593,0.0,0.0,6.0,0.0,0.0,1.7142857142857142,0.0,0.0,20.0,0.0,0.0,1.2,0.0,0.0,1.6216216216216215,0.0,0.0,35.285714285714285,90,1.653543307086614,0.1948051948051948,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03,63,0.0,0.0,2.25,0.0,0.0,0.6847826086956522,0.0,0.0,7.875,0.0,0.0,1.7027027027027026,0.0,0.0,63.0,0.0,0.0,1.2115384615384617,0.0,0.0,1.575,0.0,0.0,35.857142857142854,91,1.7093023255813955,0.2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04,55,0.0,0.0,1.9642857142857144,0.0,0.0,0.6043956043956044,0.0,0.0,6.875,0.0,0.0,1.5277777777777777,0.0,0.0,55.0,0.0,0.0,0.9322033898305084,0.0,0.0,1.2790697674418603,0.0,0.0,37.0,90,1.4473684210526316,0.1746031746031746,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,0.0,18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,51,57.71428571428572,0.0,1.7586206896551724,2.062697109495139,0.0,0.6455696202531646,0.6569063428208459,0.0,6.375,6.500974025974026,0.0,1.5,1.650303643160786,0.0,51.0,52.0,0.0,0.864406779661017,1.0890368341419243,0.0,1.275,1.4285576310493255,0.0,34.714285714285715,78,1.428,0.1728813559322033,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3512531577304079,0.0526879736595611,0.0075268533799373,0.0
2026-01-06,52,57.142857142857146,-0.0714285714285714,1.8571428571428568,2.031706935647822,-0.1045918367346937,0.5842696629213483,0.6473501817099422,-0.1027287319422152,6.5,6.429545454545455,-0.0714285714285714,1.5757575757575757,1.6468404396975826,-0.0151515151515152,52.0,51.42857142857143,-0.0714285714285714,1.0833333333333333,1.0735859729463824,-0.0907738095238095,1.4444444444444444,1.4488603257706247,0.1091269841269839,33.714285714285715,88,1.4979423868312758,0.1799307958477508,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.334961100123809,0.0502441650185713,0.0147045912397332,inf
2026-01-07,48,55.142857142857146,-0.2258064516129032,2.0869565217391304,2.0244248623987326,-0.0238429172510518,0.5783132530120482,0.6281601209743891,-0.1884959191605131,8.0,6.686688311688312,0.2903225806451612,1.5483870967741935,1.5996403279813418,-0.1758584807492196,48.0,49.42857142857143,-0.2258064516129032,0.9056603773584906,1.038944862833574,-0.2111990261716372,1.1428571428571428,1.3850194047868467,-0.2811059907834101,33.142857142857146,82,1.405857740585774,0.1708185053380783,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3567463215671327,0.0535119482350699,0.0223491552733146,inf
2026-01-08,51,54.285714285714285,-0.1052631578947368,1.8888888888888888,1.9926788306527008,-0.1052631578947368,0.6071428571428571,0.6234020379659049,-0.0520050125313283,5.666666666666667,6.7559523809523805,0.0935672514619883,1.59375,1.594665838185423,-0.0213815789473683,51.0,48.57142857142857,-0.1052631578947368,0.8947368421052632,1.013125597689582,-0.1680517082179131,1.2439024390243902,1.368842202198494,-0.0834403080872914,34.857142857142854,83,1.4223107569721116,0.1722972972972972,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.352648360949342,0.0528972541424013,0.0299059058650862,inf
2026-01-09,54,53.42857142857143,-0.0999999999999999,2.25,2.00798495310168,0.05,0.675,0.6256390866315249,0.0237500000000001,6.75,6.863095238095238,0.125,1.8,1.606910736144607,0.05,54.0,53.42857142857143,1.7000000000000002,0.8709677419354839,0.9661209893946512,-0.2741935483870967,1.3846153846153846,1.3349841683404604,-0.1461538461538462,33.857142857142854,79,1.5491803278688523,0.184931506849315,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3239535747008297,0.0485930362051244,0.036847768180104,inf
2026-01-10,55,52.285714285714285,-0.1269841269841269,2.1153846153846154,1.988754183870911,-0.0598290598290598,0.7051282051282052,0.6285456004076039,0.0297110297110296,6.875,6.720238095238095,-0.1269841269841269,1.4864864864864864,1.5760227052565765,-0.1269841269841269,55.0,52.285714285714285,-0.1269841269841269,0.7857142857142857,0.9052889642769116,-0.3514739229024943,1.4473684210526316,1.3167510856336937,-0.0810359231411862,35.857142857142854,77,1.492248062015504,0.1791530944625407,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3362307821110796,0.0504346173166619,0.0440527135110557,inf
2026-01-11,77,55.42857142857143,0.3999999999999999,2.851851851851852,2.115549346380359,0.4518518518518517,0.8461538461538461,0.6630824920873527,0.4000000000000001,9.625,7.113095238095238,0.3999999999999999,2.081081081081081,1.655066034299905,0.3621621621621622,77.0,55.42857142857143,0.3999999999999999,0.8279569892473119,0.8903966213364551,-0.1118279569892471,1.8333333333333333,1.395931595046761,0.4333333333333331,41.71428571428572,92,1.8026755852842808,0.2081081081081081,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,14557.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.2786499939188576,0.0417974990878286,0.0500237848093169,inf
2026-01-12,53,55.71428571428572,0.0392156862745098,2.0384615384615383,2.155526610495554,0.1591251885369531,0.6162790697674418,0.6588981277322495,-0.0453716370269038,5.3,6.95952380952381,-0.1686274509803922,1.4722222222222223,1.651097780331651,-0.0185185185185184,53.0,55.71428571428572,0.0392156862745098,0.5247524752475248,0.8418745778488133,-0.3929334109881576,1.358974358974359,1.407927932043098,0.0658622423328307,41.71428571428572,100,1.2408026755852843,0.1531791907514451,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.4038223219981326,0.0605733482997198,0.0511502669007682,0.1496617556619157
2026-01-13,51,55.57142857142857,-0.0192307692307692,1.9615384615384612,2.170440268266355,0.0562130177514792,0.6071428571428571,0.6621657269067508,0.0391483516483515,6.375,6.941666666666667,-0.0192307692307692,1.5454545454545454,1.6467687760026468,-0.0192307692307691,51.0,55.57142857142857,-0.0192307692307692,0.6071428571428571,0.7738473669644595,-0.4395604395604395,1.3076923076923077,1.3883919125070785,-0.0946745562130176,38.285714285714285,83,1.2981818181818183,0.159375,1,0.8,0.8,0.0,0.8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3861099686573725,0.1589369034618711,0.0666778009640967,2.1632907702441586
2026-01-14,51,56.0,0.0625,2.125,2.175875050875051,0.0182291666666667,0.5795454545454546,0.6623417556972375,0.0021306818181818,5.666666666666667,6.608333333333333,-0.2916666666666666,1.4166666666666667,1.627951571701572,-0.0850694444444444,51.0,56.0,0.0625,0.6,0.7301815987703895,-0.3375,1.3421052631578947,1.4168559296929002,0.1743421052631579,39.142857142857146,87,1.270462633451957,0.156441717791411,1,0.8,0.8,1.0,0.7238699344287677,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3944683957349372,0.1601906675235059,0.0819176180053019,1.993549530654584
2026-01-15,49,55.71428571428572,-0.0392156862745097,1.96,2.186033781033781,0.0376470588235293,0.5903614457831325,0.6599444112172768,-0.027639971651311,6.125,6.673809523809524,0.0808823529411764,1.4411764705882353,1.6061553532141768,-0.0957324106113033,49.0,55.71428571428572,-0.0392156862745097,0.6282051282051282,0.6921056396417988,-0.2978883861236803,1.225,1.4141555812608444,-0.0151960784313724,37.42857142857143,82,1.275092936802974,0.157051282051282,1,0.8,0.8,2.0,0.6549846024623855,1,0,0,0,1.0,0.0,119196.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3930470912655611,0.1599774718530994,0.097214791963973,2.024305787639457
